budget,revenue,popularity,vote_average,vote_count,runtime,original_language,imdb_rating,imdb_votes,year,month,season,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,director_is_top,actor_is_top,roi,hit
-0.544786915056513,4257354.0,0.3030885429952212,-0.1508253678127066,1.6614401703924133,-0.4185453526677425,en,0.4115293993023854,0.9185702677529661,-0.24947558365095474,12,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15030138109061475,0
0.9214764907447908,12136938.0,-0.14764843401790412,0.2772718495222643,-0.24246211146206387,0.21398295395081565,en,0.3187247284860043,-0.19287236431781163,-0.34596693203821244,10,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.17362982336889474,0
-0.8173629534236838,23218000.0,1.216312629598211,1.3311044995285186,4.144824746112023,0.789008687240414,en,1.803599461548093,5.286512446638474,-2.8547419901069135,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.1247879695146499,1
0.18834478784413886,40061153.0,0.15544351695551673,1.2376366070770497,1.0042792848563513,1.9965627271485704,en,1.5251854490989525,1.000596153277198,-0.008247212682810395,9,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04763504399451149,1
-0.4326608899070016,1350322.0,0.5773371101786597,1.4110159800977133,1.8564134354864459,2.456583313780249,de,1.803599461548093,1.8955062173129873,-3.5301814288177176,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.1891299499599484,0
-0.674163097921334,12300000.0,-0.2926219007393563,-0.008126295367716734,-0.14381030003998366,0.04147523396393615,en,1.0611620950170495,-0.12856425559327242,0.13648980989807621,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.03462583465285317,0
-0.8035392807861549,1574623.0,2.4827499570391813,-0.43622351270268767,-0.08477457037007739,-2.028617405878618,en,-1.444564017025226,-0.14171344334906533,0.18473548409170507,7,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.12582685400309743,0
0.8352257021682434,72258126.0,4.367688729832386,1.4188644290821872,12.103773248715438,0.15648038062185582,en,1.896404132364475,13.270144991660754,0.18473548409170507,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.028065664239574937,1
-0.7172884922096076,20908467.0,0.42555471351334306,1.0621167479697113,1.721252685979029,2.801598753754008,es,1.6179901199153326,2.7214584157546846,-0.008247212682810395,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3000615821709451,1
1.8702351650868108,61477797.0,2.783785043758726,0.7517462654018574,2.3248153432621494,-0.5335504993256621,en,1.0611620950170495,2.7251225633127363,0.23298115828533394,9,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.10920505384545853,1
0.14521939355586522,71923560.0,3.2719711354631067,1.3846166516953895,9.193933204722427,2.514085887109209,en,1.896404132364475,8.644773256014789,-1.552108786878934,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.08611982774292588,1
-0.32915994361514483,64826117.0,0.0744456211649598,1.0407118871029633,0.5778238165829495,0.38649067393769515,es,1.5251854490989525,0.9744833042242478,0.08824413570444734,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.2769923456530933,1
